gender,name,origin,meaning
M,Dada,o‘zbekcha,"Marhum dadasi (otasi) yoki bobosining ismi berilgan bola, yohud sog‘ ulg‘ayib otasidek kishi bo‘lsin"
M,Dadaali,"o‘zbekcha, arabcha","Dadasi yoki bobosi ismi bilan atalgan bolani Ali qo‘llab yursin yoki Alining had’yasi, tuhfasi"
M,Dadaasal,"o‘zbekcha, arabcha","Dadani nomini olgan suyukli, erkatoy bola"
M,Dadaahmad,"o‘zbekcha, arabcha","Dadasi yoki bobosi ismi bilan atalgan o‘g‘ilni Ahmad (qar.) qo‘llab yursin yoki Ahmadning (payg‘ambar)ning ehsoni, had’yasi"
M,Dadaberdi,o‘zbekcha,Xudo bergan va otasi yoki bobosi ismi bilan nomlangan bola yohud marhum otasining o‘rniga berilgan bola
M,Dadaboy,o‘zbekcha,"Qar. Dada (Dada+boy) yoki sovg‘a, tuhfa qilingan o‘g‘il"
M,Dadajon,"o‘zbekcha, fors-tojikcha",Qar. Dada (Dada+jon)
M,Dadavali,"o‘zbekcha, arabcha",Qar. Dada va Vali
M,Dadayo‘ldosh,o‘zbekcha,"Dadasiga hamroh, yo‘ldosh bo‘lib o‘ssin"
M,Dadakeldi,o‘zbekcha,Marhum dadasining o‘rniga berilgan bola
M,Dadamat,"o‘zbekcha, arabcha",Qar. Dadamuhammad
M,Dadamirza,"o‘zbekcha, fors-tojikcha","Dadasining ismi berilgan bola o‘qimishli, mirza yigit bo‘lsin"
M,Dadamurod,"o‘zbekcha, arabcha","Dadasi o‘rnini bossin va sog‘ ulg‘aysin, murodu maqsadiga yetsin"
M,Dadamuhammad,"o‘zbekcha, arabcha","Dadasining (otasi yoki bobosi) ismi berilgan o‘g‘ilni Muhammad (sav) o‘z panohida asrasin yoki Muhammad (sav)ning sovg‘asi, ehsoni"
M,Dadan,Fors-tojikcha,Dadan - tuhfa qilingan bola yoki qar. Dadanazar
M,Dadanazar,"o‘zbekcha, arabcha","Allohning iltifoti, nazari bilan erishilgan bola"
M,Dadaortiq,o‘zbekcha,Dadasining nomi berilgan va badanida biror ortiq belgi bilan tug‘ilgan bola
M,Dadasardor,"o‘zbekcha, fors-tojikcha",Qar. Dada va Sardor
M,Dadafarid,"o‘zbekcha, arabcha","Dadasii nomini olgan, tengsiz, yagona, benazir bola"
M,Dadaxol,"o‘zbekcha, fors-tojikcha",Dadasi nomi berilgan va xol bilan tug‘ilgan bola
M,Dadaxon,o‘zbekcha,Dadasining nomi berilgan ulug‘ martabali bola
M,Dadaxo‘ja,"o‘zbekcha, fors-tojikcha","Dadasi nomini olgan, xo‘jalar nasliga mansub bola"
M,Dadash,o‘zbekcha,Dada so‘zi bilan boshlangan ba’zi qo‘shma ismlarning (Dadasharif) eq. shakli
M,Dadashaydo,"o‘zbekcha, fors-tojikcha",Qar. Dada va Shaydo
M,Dadashayx,"o‘zbekcha, arabcha","Dadasining nomi berilgan va ruhoniylar nasliga mansub bola yoki aziz-avliyo ato qilgan bola, shayxning tuhfas"
M,Dadasharif,"o‘zbekcha, arabcha",Qar. Dada va Sharif
M,Dadaqobil,"o‘zbekcha, arabcha","Dadasining ismi berilgan odobli, mo‘min-qobil bola"
M,Dadaqul,o‘zbekcha,Qar. Dada (Dada+qul) yoki sog‘ ulg‘ayib otasiga ko‘makdosh bo‘lsin
M,Dadaqurbon,"o‘zbekcha, arabcha","Dadasining nomi berilgan va qurbon oyida tavallud topgan bola yoki qurbon oyida berilgan tuhfa, ehson"
M,Dadaqo‘zi,o‘zbekcha,"Dadasining ismini olgan, suyukli, erka bola"
M,Dadil,o‘zbekcha,"Jasur, dovyurak, chaqqon, epchil"
M,Dadilboy,o‘zbekcha,"Jasur, dovyurak, chaqqon, epchil"
M,Dayovboy,o‘zbekcha,"Eht.: Bayov-boy, baquvvat, qudratli yoki bayov - mahkam, mustahkam"
M,Dayyor,Fors-tojikcha,"Turg‘un, muhim, ya’ni yashaydigan bola yoki qabila, urug‘ boshlig‘i, said, pir"
M,Dala,o‘zbekcha,"Eht.: dalada tug‘ilgan bola yoki ulg‘ayib dalalar, yerlarning egasi bo‘lsin"
M,Dalaboy,o‘zbekcha,"Eht.: dalada tug‘ilgan bola yoki ulg‘ayib dalalar, yerlarning egasi bo‘lsin"
M,Dalan,o‘zbekcha,"Dalan, do‘lan, koridor, ya’ni yo‘lkada qolsin, yashasin yoki yo‘lakda yotgan arzimas bola. Bolaga ko‘z tegmasin va u yashab ketsin degan manoda beriladi"
M,Dalanboy,o‘zbekcha,"Dalan, do‘lan, koridor, ya’ni yo‘lkada qolsin, yashasin yoki yo‘lakda yotgan arzimas bola. Bolaga ko‘z tegmasin va u yashab ketsin degan manoda beriladi"
M,Dalboy,o‘zbekcha,"Mahkam, ishonch bilan turuvchi yoki nozik, xushbichim, chiroyli. Eht. Dal  -  del-yot, o‘zga, ya’ni bizning o‘g‘limiz emas, go‘dakning dushmani-yovuz kuchlarni chalgitish uchun beriladigan ism"
M,Dali,o‘zbekcha,"Sho‘x, jo‘shqin, harakatchan, dovyurak"
M,Daliboy,o‘zbekcha,"Sho‘x, jo‘shqin, harakatchan, dovyurak"
M,Dalir,Fors-tojikcha,"Qo‘rqmas, dovyurak, botir"
M,Dalli,NoEtymology,"Eht.: Dali, Daliboy (qar.)"
M,Dalliboy,NoEtymology,"Eht.: Dali, Daliboy (qar.)"
M,Dalg‘in,o‘zbekcha,"o‘tkir fikrli, o‘ta mushohadali, aqlli, dono"
M,Dam,o‘zbekcha,"Va’zgo‘y, dinga sidqidildan ishonish va amal qilishga chorlovchi, xatib"
M,Damboy,o‘zbekcha,"Va’zgo‘y, dinga sidqidildan ishonish va amal qilishga chorlovchi, xatib"
M,Damavboy,o‘zbekcha,"Ota-onasiga ko‘makchi, yordamchi, suyanch bo‘lsin"
M,Damovboy,o‘zbekcha,"Ota-onasiga ko‘makchi, yordamchi, suyanch bo‘lsin"
M,Damin,Arabcha,"Sabotli, qunt-toqatli, mustahkam. Shakllari: Daminbek, Daminboy, Daminjon"
M,Damir,o‘zbekcha,"Temir, ya’ni mustahkam, yashovchi"
M,Damirali,"o‘zbekcha, arabcha",Temir (damir)dek mustahkam o‘g‘ilni Ali panohida asrasin
M,Danak,Fors-tojikcha,Danakdek mahkam bo‘lsin
M,Dangal,o‘zbekcha,"Sabotli, shijoatli, qaytmas, irodali"
M,Darboy,"Fors-tojikcha, o‘zbekcha","Qopqa, darvoza, qopqadek mustahkam bo‘lsin yoki mustahkam qal’a va manzillarning egasi bo‘lsin"
M,Darvesh,Fors-tojikcha,"Farzandga muhtoj (gado) bo‘lib yurganda erishilgan bola yoki darvesh-qalandar, zohid"
M,Darveshali,"Fors-tojikcha, o‘zbekcha, arabcha",Farzandga muhtoj (gado) bo‘lib yurganda erishilgan bolani Ali qo‘llab yursin yoki o‘zini Alining yo‘liga bagishlaydigan bola
M,Darveshmirza,Fors-tojikcha,Qar. Darvesh va Mirza
M,Darbeshmuhammad,"Fors-tojikcha, arabcha","Muhtoj (gado) bo‘lib, yurib erishilgan bolani Muhammad (sav) o‘z panohida asrasin yoki Muhammad (sav) diniga o‘zini baxshida etuvchi"
M,Daryoboy,"Fors-tojikcha, o‘zbekcha","Umri daryodek davomli, uzun bo‘lsin yoki dariya - g‘olib, muzaffar, omadli"
M,Daryoqul,"Fors-tojikcha, o‘zbekcha",Qar. Daryo (Daryo+qul)
M,Darig‘,Arabcha,"Afsus, nadomat. Oilada bolalar o‘lavergach, ota-ona Allohga shunday iltijo qilib berilgan ism"
M,Darkor,Fors-tojikcha,"Lozim bo‘lgan, kutilgan, orzu qilib erishilgan bola"
M,Darjon,Fors-tojikcha,"Ota-onasiga kuch, quvvat, suyanch bo‘lsin. Shakllari: Darmonjon, Darmontoy, Darmonxon"
M,Darmonjon,Fors-tojikcha,"Ota-onasiga kuch, quvvat, suyanch bo‘lsin. Shakllari: Darmonjon, Darmontoy, Darmonxon"
M,Darmonqul,"Fors-tojikcha, o‘zbekcha",Qar. Darmon (Darmon+qul)
M,Darosat,Arabcha,"Ilm sohibi, bilimlarni egallovchi"
M,Darrov,Fors-tojikcha,"Chaqqon, epchil, shijoatli bola"
M,Darxon,"o‘zbekcha, mo‘g‘ulcha","Erkin, ozod, daxlsiz. o‘tmishda mahsus unvon, mansab nomi bo‘lib, u xon saroyiga erkin kirib chiquvchilarni anglatgan. Demak, Darxon-darxon unvoniga sazovorlar nasliga mansub bola"
M,Darxonmirza,"o‘zbekcha, fors-tojikcha",Qar. Darxon va Mirza
M,Darxonxo‘ja,o‘zbekcha,Darxon va Xo‘ja
M,Dastyor,Fors-tojikcha,"Ota-onasiga yordamchi, ko‘makchi"
M,Dasturboy,"Fors-tojikcha, o‘zbekcha","Maslahatchi, rahnamo, boshliq yoki kuch, qudrat sohibi"
M,Dashna,o‘zbekcha,"o‘tkir kuchli pichoq (xanjar)dek mustahkam, o‘tkir bo‘lsin"
M,Dashnaboy,o‘zbekcha,"o‘tkir kuchli pichoq (xanjar)dek mustahkam, o‘tkir bo‘lsin"
M,Dashtboy,Fors-tojikcha,"Cho‘lda, dashtda tug‘ilgan bola yoki hisorlar, dalalar egasi (posboni) bo‘lsin"
M,Dahaboy,Fors-tojikcha,Mahalla farzandi yoki Dahoboy (ar.-o‘z) yuksak zehn va zakovot sohibi
M,Dahriboy,"Arabcha, o‘zbekcha","Uzoq, boqiy umrli bola"
M,Devdil,Fors-tojikcha,"Devyurak, jasur, kuchli, dovyurak"
M,Devloh,Fors-tojikcha,"Aynan: yaylov, sahro; yaylovda tug‘ilgan o‘g‘il yoki hayoti yaylovdek keng va ravon bo‘lsin"
M,Devlohchi,Fors-tojikcha,"Yaylov, dalalar egasi, yaylovda tavallud topgan bola"
M,Devman,Fors-tojikcha,"Kuchli, qudratli, bahodir"
M,Devon,Fors-tojikcha,"Xon irodasi, mahkamasi boshlig‘i bo‘lsin yoki qasr, ko‘shk egasi. Eht.: Devona (qar.)"
M,Devonboy,Fors-tojikcha,Qar. Devon (Devon+boy)
M,Devonmamat,"Fors-tojikcha, arabcha",Qar. Devonmuhammad
M,Devonmuhammad,"Fors-tojikcha, arabcha","Ulg‘ayib mansabdor bo‘lsin va Muhammad (sav) qo‘llab, asrab yursin"
M,Devonxo‘ja,Fors-tojikcha,Xo‘jalar avlodiga mansub bola ulug‘ mansablar egasi bo‘lsin
M,Devonqul,"Fors-tojikcha, o‘zbekcha","Xon irodasi, saroyi xizmatkori. Qar. Devon (Devon+qul)"
M,Devor,Fors-tojikcha,"Muhofaza qilingan, himoyalangan yoki devordek mustahkam bola"
M,Dengiz,o‘zbekcha,Umri dengiz kabi keng va bepayon bo‘lsin
M,Dengizboy,o‘zbekcha,Umri dengizdek bepayon bo‘lsin yoki dengizdek cheksiz boyliklar egasi bo‘lsin
M,Denov,Fors-tojikcha,"Denovda (Surxondaryo viloyatidagi tuman) tug‘ilgan bola, Denov farzandi"
M,Dehqon,Fors-tojikcha,"Ulg‘ayib dehqon bo‘lsin yoki boy, badavlat (yer egas) bo‘lsin"
M,Dehqonali,"Fors-tojikcha, arabcha",Ulg‘ayib dehqon bo‘lsin va Ali qo‘llab-quvvatlab yursin
M,Dehqonbola,"Fors-tojikcha, o‘zbekcha","Ulg‘ayib dehqon bo‘lsin, dehqon farzandi"
M,Dehqonbo‘l,"Fors-tojikcha, o‘zbekcha","Ulg‘ayib dehqon, mehnatkash, mehnatsevar bo‘lsin"
M,Dehqonxo‘ja,Fors-tojikcha,"Xo‘jalar naslidan bo‘lgan bola ulg‘ayib mehnatkash, dehqon bo‘lsin"
M,Dehqonqul,"Fors-tojikcha, o‘zbekcha",Qar. Dehqon yoki Allohning mehnatkash (dehqon) bandasi
M,Digar,Fors-tojikcha,"o‘zga, bosh, o‘zgacha bola, ya’ni avvalgi turmagan bolalardan farqli bola, yani yashaydigan, umri uzoq bola. Sol: Dagar"
M,Diyonat,Arabcha,"Subutli, diyonatli bo‘lib o‘ssin"
M,Diyor,Arabcha,"O‘lka, ona yurt farzandi"
M,Diyorbek,Arabcha,"O‘lka, ona yurt farzandi"
M,Diyorjon,Arabcha,"O‘lka, ona yurt farzandi"
M,Dil,Fors-tojikcha,"Qalb, yurak, tiriklik, ya’ni vijdonli, saxovatli qalb egasi yoki mard, jasur. Shakllari: Dilbek, Dilboy, Diljon"
M,Dilbarali,"Fors-tojikcha, arabcha","Kelishgan, chiroyli yigit bo‘lib o‘ssin va Ali qo‘llab yursin"
M,Dilbarbek,"Fors-tojikcha, arabcha","Beklar naslidan bo‘lgan go‘zal, chiroyli yigit"
M,Dilbashir,"Fors-tojikcha, arabcha","Ko‘ngilga shodlik, quvonch keltiruvchi o‘g‘il"
M,Dildorali,"Fors-tojikcha, arabcha","Suyukli, mehribon, g‘amxo‘r bola bo‘lsin va Ali qo‘llab yursin"
M,Dildorbek,"Fors-tojikcha, o‘zbekcha",Beklar naslidan bo‘lgan suyukli bola
M,Dilli,Fors-tojikcha,Dil so‘zi bilan boshlangan erkaklar qo‘shma ismlarning eq.
M,Dilliboy,Fors-tojikcha,Dil so‘zi bilan boshlangan erkaklar qo‘shma ismlarning eq.
M,Dilmon,Fors-tojikcha,"Qar. Dilmuhammad, Dilmurod"
M,Dilmurod,"Fors-tojikcha, arabcha","Ko‘nglimizdagi istak, orzu (murod) bo‘lgan bola; dilga taskin bergan o‘g‘il"
M,Dilnazar,"Fors-tojikcha, arabcha",Ko‘nglimiz xohishiga iltifot (nazar) qilib berilgan o‘g‘il
M,Dilnazir,"Fors-tojikcha, arabcha",Iltifot qilib berilgan suyukli bola yoki qar. Dil va Nazir
M,Dilniyoz,Fors-tojikcha,"Dildan istab, qo‘msab erishilgan in’om, sovg‘a (farzand)"
M,Dilovarxo‘ja,Fors-tojikcha,Xo‘jalar avlodidan bo‘lgan jasur bola
M,Dilxon,"Fors-tojikcha, o‘zbekcha","Qalb egasi, muruvvatli qalb sohibi"
M,Dilshod,Fors-tojikcha,"Quvnoq, baxtiyor, shodon yoki ko‘nglimizning quvonchi bo‘lgan farzand"
M,Dinali,Arabcha,"Ali mansub bo‘lgan din farzandi, musulmon"
M,Dinasl,Arabcha,"Dinning asl farzandi, musulmon, mo‘min"
M,Dinahmad,Arabcha,Muhammad (sav)ning dini (islom) farzandi. Ahmad Muhammad payg‘ambarning sifarlaridan biridir
M,Dinmamat,Arabcha,Qar. Dinmuhammad
M,Dinmat,Arabcha,Qar. Dinmuhammad
M,Dinislom,Arabcha,"Islom dini farzandi, musulmon"
M,Dinmurod,Arabcha,"Dinga iltijo qilib erishilgan orzu, murod, o‘g‘li"
M,Dinmuhammad,Arabcha,"Musulmon, xudojo‘y bola yoki Muhammad (sav) diniga mansub bola"
M,"Dinor, Dinorboy","Arabcha, yunoncha","Dinor (tillo tanga) kabi qadrli, qimmatli o‘g‘il yoki ulg‘ayib boy, badavlat bo‘lsin"
M,Dinulla,Arabcha,"Allohning diniga ergashuvchi, bo‘ysunuvchi bola"
M,Dinsho,"Arabcha, fors-tojikcha","Dinning shohi, hukmdori, dinni ulug‘lovchi, din himoyasichi"
M,Dovar,Fors-tojikcha,"Adolatparvar. Haqiqat, haqqoniyat tarafdori; podshoh, hokim"
M,"Dovon, Dovonboy",o‘zbekcha,"Dovondan oshsin, ya’ni o‘lmasin yoki dovonda tug‘ilgan bola. Eht.: Devon (qar.)"
M,Dovonmirza,Fors-tojikcha,"Eht.: Devonmirza - shoh idorasi, saroyning kotibi, mirzasi"
M,Dovud,Qadimiy yahudiycha,"Mehrli, mehribon, dildan sevuvchi, suyukli, chin do‘st yoki shifo beruvchi, sog‘aytuvchi. Dovud payg‘ambar temirchilarning piri hisoblanadi"
M,Dovudqul,"Qadimiy yahudiycha, o‘zbekcha","Dovud (as)ning xizmatkori, quli"
M,"Dovul, Dovulboy",o‘zbekcha,Dovulli-dovul (bo‘ron) payti tug‘ilgan o‘g‘il
M,Dovulli,o‘zbekcha,Dovulli (bo‘ronli) kunda tug‘ilgan bola
M,Dodboy,Fors-tojikcha,"Adolatli, haqiqatparvar yoki iltijolar qilib erishilgan bola"
M,Dodali,"Fors-tojikcha, arabcha","Alidan iltijolar qilib olingan tuhfa, Ali ehson qilgan farzand"
M,Dodar,Fors-tojikcha,"Adolatli; rahmdil, mehribon"
M,Dodbaxsh,Fors-tojikcha,"Adolat va haqqoniyat egasining (Alloh) tuhfa, ehsoni"
M,Dodvand,Fors-tojikcha,"Odil, adolatli, to‘g‘ri fikrlovchi"
M,Dodvor,Fors-tojikcha,"Odil, adolatli, to‘g‘ri yo‘l ko‘rsatuvchi"
M,Dodgar,Fors-tojikcha,"Adolatpesha, odil hukm yurituvchi"
M,Dodmuhammad,"Fors-tojikcha, arabcha","Muhammad (sav) tuhfasi, Muhammad (sav) ato qilgan bola"
M,Dodxudo,Fors-tojikcha,"Alloh bergan, ato qilgan bola, Allohning tuhfasi"
M,Dodho,Fors-tojikcha,Adolashparvarl haqqoniyat va to‘g‘rilik sohibi. Dodho - o‘tmishda Buxoro xonligida yuqori mansablardan biri bo‘lgan va u xon oldiga kiruvchilarni qabul qilivchi shasx hisoblangan
M,Doliboy,Arabcha,"Dol-to‘g‘ri; dolu-o‘suvchi, qadrli bola"
M,Dolim,Arabcha,"o‘suvchi, ulg‘ayuvchi, ko‘payuvchi"
M,Dolchin,Fors-tojikcha,"Dolchindek yoqimli, qadrli bola"
M,"Domlajon, Domullajon",Arabcha,"Ulg‘ayib muallim, o‘qituvchi, ustoz bo‘lsin yoki domlaning (eshon) duosi bilan erishilgan farzand"
M,"Doni, Donijon",Fors-tojikcha,"Uquvli, epchil; botir, qahramon"
M,Doniyor,Fors-tojikcha,"Yaqinlar, do‘stlar yoki bilimli, dono yoki (qadimiy yahudiycha) Allohning ehsoni, sovg‘asi, marhamati"
M,Doniislom,"Fors-tojikcha, arabcha","Islom dini bilimdoni, donishmandi"
M,Donish,Fors-tojikcha,"Bilimli, aqlli, dono"
M,Donishmand,Fors-tojikcha,"Bilimdon, aqlli, dono"
M,Doniqul,"Fors-tojikcha, o‘zbekcha",Qar. Doni (Doni+qul)
M,Donoberdi,"Fors-tojikcha, o‘zbekcha","Dono o‘g‘il ato qildi, aqlli, farosatli o‘g‘il tugildi"
M,Donokeldi,"Fors-tojikcha, o‘zbekcha","Aql-farosatli, bilimdon o‘g‘il dunyoga keldi"
M,Donomamad,"Fors-tojikcha, o‘zbekcha",Qar. Donomuhammad
M,Donomurod,"Fors-tojikcha, arabcha","Aqlli, farosatli o‘g‘il bo‘lsin va ulg‘ayib murod-maqsadiga yetsin"
M,Donoxo‘ja,Fors-tojikcha,Xo‘jalar naslidan bo‘lgan dono bola
M,Donoqul,"Fors-tojikcha, o‘zbekcha",Qar. Dono (Dono+qul)
M,Donoqurbon,"Fors-tojikcha, arabcha",Qurbon oyida tug‘ilgan aql-farosatli bola
M,Doro,Fors-tojikcha,"Hokim, podshoh; ezgulik, yaxshilik sohibi"
M,Dorobek,"Fors-tojikcha, o‘zbekcha","Beklar naslidan bo‘lgan ezgulik, yaxshilik istovchi bola"
M,"Dorob, Darob",Fors-tojikcha,"Nozu ne’mat, mo‘l-ko‘lchilik, sohibi. Shakllari: Darobbek, Darobxon, Darobsho"
M,Doston,Fors-tojikcha,"Dovruqli, taniqli, mashhur. Bu nom Rustamning otasi Zolning (Firsavsiyning Shohnoma dostoni qahramoni) laqabi bo‘lgan"
M,Dostonbo‘l,"Fors-tojikcha, o‘zbekcha","Dovruqli, mashhur, shon-shuhrat sohibi"
M,Dostonqul,"Fors-tojikcha, o‘zbekcha",Qar. Doston (Doston+qul)
M,Doxunda,Fors-tojikcha,"Qishloqda o‘sgan, qishloq farzandi"
M,Dohiy,Arabcha,"Aqlli, dono, ulug‘ mutafakkir, ulug‘ yo‘lboshchi"
M,Duvlon,Fors-tojikcha,"Qishning ayozli, qorasovuq kuni (yanvar oyi)da tug‘ilgan bola"
M,Duvlonqul,Fors-tojikcha,Qar. Duvlon (Duvlon+qul)
M,Duymat,"Fors-tojikcha, arabcha",Qar. Duyshanmuhammad
M,Duyshan,Fors-tojikcha,Dushanba kuni tavallud topgan o‘g‘ilni Muhammad (sav) o‘z panohida asrasin
M,Duyshanmuhammad,"Fors-tojikcha, arabcha",Dushanba kuni tug‘ilgan o‘g‘ilni Muhammad (sav) o‘z panohida asrasin
M,Duldulbek,"Arabcha, o‘zbekcha","Duldul otdek chaqqon, tezkor yoki ulg‘ayib duldulotlar egasi bo‘lsin. Bu nom xalif Ali mingan otning laqabi bo‘lgan"
M,Dunboy,Arabcha,"Yomon, arzimas, tuban, pastkash bola. Bolaga ko‘z tegmasin deb chaqaloqning dushmanlarini aldash, chalg‘itish uchun beriladigan ism. Sol: Yomonboy, Jamanboy"
M,Dunyodor,"Arabcha, fors-tojikcha","Boy, badavlat, boylik, davlat sohibi"
M,Durbek,"Arabcha, o‘zbekcha","Inju, marvarid donasidek aziz, beklarning eng asili yoki uzoq yashasin, umri uzoq bo‘lsin. Ba’zan bu ism Yusuf va Zulayho dostoni muallifi shoir Durbekning taxallusiga nisbat berib ham qo‘yiladi. Shakli: Durboy, Durjon"
M,Durbon,Fors-tojikcha,"Zehnli, farosatli, uzoqni ko‘ra oluvchi, dono"
M,Durbotir,"Arabcha, fors-tojikcha","Injudek bebaho qimmatli, hamda botir, mard yigit bo‘lsin"
M,Durdiposhsha,"o‘zbekcha, fors-tojikcha",Qar. Turdiposhsha
M,Durdixol,"o‘zbekcha, fors-tojikcha",Qar. Turdixol
M,Durjon,"Arabcha, fors-tojikcha",Durdek aziz va suyukli bola
M,Durmamat,Arabcha,Qar. Durmuhammad
M,Durman,Arabcha,"Qar. Durnazar, Durmuhammad kabi ismlarning eq."
M,Durmat,Arabcha,Qar. Durmuhammad
M,Durmirza,"Arabcha, fors-tojikcha","o‘qimishli, mirzo yigitlarning eng a’losi. Qar. Dur va Mirza"
M,Durmurod,Arabcha,Durdek aziz o‘g‘il ulg‘ayib murod-maqsadiga yetsin yoki murodu-maqsadimiz bo‘lgan farzand
M,Durmuhammad,Arabcha,"Injudek bebaho, qimmatli o‘g‘ilni Muhammad (sav) o‘z panohida saqlasin"
M,Durnazar,Arabcha,"Allohning nazari, iltifoti tufayli erishilgan qimmatli o‘g‘il"
M,Durniyoz,"Arabcha, fors-tojikcha","Tilab, iltijo qilib erishilgan qimmatli o‘g‘il yoki qar. Turniyoz"
M,Durposh,"Arabcha, fors-tojikcha","Inju donasidek sochilgan, zebo, sohibjamol qiz yoki qar. Durposhsha"
M,Durpo‘lat,"Arabcha, fors-tojikcha",Durdek aziz va po‘latdek mustahkam bo‘lsin
M,Durustboy,Fors-tojikcha,"Ma’qul, mukammal; samimiy"
M,Durustmuhammad,"o‘zbekcha, arabcha",Qar. Durust va Muhammad
M,Durustqul,o‘zbekcha,"To‘g‘rilik, adolat yo‘lida xizmat qiluvchi bola"
M,Durxo‘ja,"Arabcha, fors-tojikcha","Xo‘jalar nasliga mansub bo‘lgan martabali, e’zozli o‘g‘il"
M,Dushan,Fors-tojikcha,Dushanba kuni tavallud topgan o‘g‘il
M,Dushanali,"Fors-tojikcha, arabcha","Dushanba kuni tug‘ilgan o‘g‘ilni Ali qo‘llab, asrab yursin"
M,Dushanboy,"Fors-tojikcha, o‘zbekcha",Qar. Dushan (Dushan+boy)
M,Dushanxo‘ja,Fors-tojikcha,Dushanba kuni tug‘ilgan va xo‘jalar avlodiga mansub bola
M,Dushanqul,"Fors-tojikcha, o‘zbekcha",Qar. Dushan (Dushan+qul)
M,Do‘lanboy,o‘zbekcha,Ulg‘ayib ulkan martabalar egasi bo‘lsin. Eht.: To‘lan < To‘lagan (qar.)
M,Do‘lboy,o‘zbekcha,Do‘l yog‘gan kuni tug‘ilgan bola yoki iris-nasabli bo‘lsin
M,Do‘lbor,Fors-tojikcha,"Sodda, oddiy, dilkash yoki ulkan, bo‘ychan, katta gavdali"
M,Do‘li,o‘zbekcha,"Tarkibida do‘l so‘zi mavjud ismlarning eq. Shakllari: Do‘liboy, Do‘lijon"
M,Do‘lmon,Fors-tojikcha,Qar. Do‘lboy
M,Do‘lob,Fors-tojikcha,"Adashtirilgan, almashib ketgan, o‘zga, boshqa bola. Chaqaloqning dushman-yovuz kuchlarni chalg‘itish uchun beriladigan ism yoki do‘lon-ko‘paysin, unsin"
M,"Do‘lta, Do‘ltaboy",o‘zbekcha,Afsonaviy mahluqdek (bo‘riga o‘xshash yirtqich) dovyurak va qudratli bo‘lsin
M,Do‘ltoy,o‘zbekcha,Do‘l yog‘gan kuni tug‘ilgan suyukli bola
M,Do‘lchi,o‘zbekcha,Do‘l yog‘gan kuni tug‘ilgan bola
M,Do‘ngboy,o‘zbekcha,Do‘ng (tepa)dek baland martabali bo‘lsin yoki tepadek mustahkam tursin
M,Do‘nmas,o‘zbekcha,"Qaytmas, orqaga yurmas, ya’ni o‘lmas, umri uzoq boka"
M,Do‘non,"o‘zbekcha, mo‘g‘ulcha","To‘rt yashar ot yoki tuya kabi kuchli, qudratli bo‘lsin yoki moli (chorvasi) mo‘l, badavlat bo‘lsin"
M,Do‘nonmirza,"Mo‘g‘ulcha, fors-tojikcha",Qar. Do‘non va Mirza
M,"Do‘rmon, Do‘rman","Mo‘g‘ulcha, fors-tojikcha","Do‘rmon qabilasiga mansub bola: do‘rmon farzandi. Shakllari: Do‘rmonbek, Do‘rmonboy, Dormoncha"
M,Do‘rmonxo‘ja,"Mo‘g‘ulcha, fors-tojikcha",Do‘rmon qabilasidan bo‘lgan xo‘jalar nasliga mansub bola
M,"Do‘san, Do‘sanjon",Fors-tojikcha,"Do‘st so‘zi bilab boshlangan qo‘shma ismlar (Do‘stnazar , Dostniyoz)ning eq."
M,"Do‘sat, Do‘satboy",Fors-tojikcha,"Do‘st  so‘zi bilan boshlangan ba’zi ismlarning (Do‘sturdi, Do‘stturgun) eq. shakli"
M,Do‘sboy,"Fors-tojikch, o‘zbekcha",Qar. Do‘stboy yoki do‘s - o‘rik pishgan paytda tug‘ilgan bola
M,Do‘sim,"Fors-tojikcha, o‘zbekcha","Do‘st so‘zi bilan boshlangan ba’zi ismlar (Do‘stmurod, Do‘stmuhammad)ning eq.shakli. Shakllari: Dosimboy, Dosimjon, Dosimmirza, Dosimxoja"
M,Do‘smat,"Fors-tojikcha, arabcha",Qar. Do‘stmuhammad
M,Do‘st,Fors-tojikcha,"Otasiga yoki o‘zidan oldingi aka va opalariga yo‘ldosh, esh bo‘lib yursin. Shakllari: Do‘stbek, Dostjon, Dostxoja"
M,Do‘stali,"Fors-tojikcha, arabcha","Xalif Ali yo‘ldosh, do‘st bo‘lib qo‘llasin yoki Alining dosti, hamdami"
M,Do‘stberdi,"Fors-tojikcha, o‘zbekcha",Otasi yoki o‘zidan oldingi farzandlarga do‘st qilib berdi
M,Do‘stbo‘l,"Fors-tojikcha, o‘zbekcha","Otasiga yoki o‘zidan oldingi aka va opalariga ergashsin, ularga yo‘ldosh bo‘lib yursin"
M,Do‘stdor,Fors-tojikcha,"Suyukli, aziz; do‘stlari ko‘p bola"
M,Do‘styor,Fors-tojikcha,"Do‘stlariga esh, o‘rtoq bo‘lin yursin"
M,Do‘sti,Fors-tojikcha,Do‘st so‘zi bilan boshlangan ba’zi qo‘shma ismlarning qisqargan shakli
M,Do‘stiyor,Fors-tojikcha,Qar. Do‘styor
M,Do‘stim,"Fors-tojikcha, arabcha","Do‘st so‘zi bilan boshlangan ba’zi qo‘shma ismlarning (Do‘smuhammad, Dostmurod) eq.shakli"
M,Do‘stkeldi,"Fors-tojikcha, o‘zbekcha","Otasi (yoki oldingi farzandlarga) o‘rtoq, esh keldi, tug‘ildi"
M,Do‘stmamat,"Fors-tojikcha, o‘zbekcha",Qar. Do‘stmuhammad
